Entity,Year,Male_Prevalence,Female_Prevalence
Saint Kitts and Nevis,2019,3.410033563,5.669375331
Saint Lucia,2016,3.366430619,5.612596558
Saint Lucia,2017,3.351775046,5.63075159
Saint Lucia,2018,3.354615444,5.632351711
Saint Lucia,2019,3.36506915,5.625919106
Saint Vincent and the Grenadines,2016,3.345267193,5.591768491
Saint Vincent and the Grenadines,2017,3.33268889,5.60420864
Saint Vincent and the Grenadines,2018,3.34168116,5.615749327
Saint Vincent and the Grenadines,2019,3.365179161,5.630628013
Samoa,2016,3.208594891,5.163783482
Samoa,2017,3.197473829,5.160049614
Samoa,2018,3.204170015,5.173158275
Samoa,2019,3.221812479,5.200730905
San Marino,2016,4.465016121,7.539343533
San Marino,2017,4.473025941,7.530936539
San Marino,2018,4.472844425,7.526783404
San Marino,2019,4.468764088,7.522632616
Sao Tome and Principe,2016,2.754062071,3.573892651
Sao Tome and Principe,2017,2.763786795,3.582493003
Sao Tome and Principe,2018,2.769818095,3.584454075
Sao Tome and Principe,2019,2.776256656,3.583294601
Saudi Arabia,2016,3.75709723,6.14373816
Saudi Arabia,2017,3.743151923,6.134466624
Saudi Arabia,2018,3.742402063,6.156667735
Saudi Arabia,2019,3.743239171,6.205861905
Scotland,2016,3.595523545,5.471601661
Scotland,2017,3.587099436,5.413971834
Scotland,2018,3.596887714,5.41654066
Scotland,2019,3.62191886,5.447438122
Senegal,2016,2.545562224,3.318610788
Senegal,2017,2.558158587,3.318383197
Senegal,2018,2.561938583,3.321234302
Senegal,2019,2.562545872,3.326515597
Serbia,2016,2.612135225,4.509794894
Serbia,2017,2.624737763,4.500025903
Serbia,2018,2.619665691,4.502332642
Serbia,2019,2.606854626,4.511738826
Seychelles,2016,2.88715638,5.037619295
Seychelles,2017,2.887370063,5.055178641
Seychelles,2018,2.894878805,5.063274911
Seychelles,2019,2.909439511,5.070185567
Sierra Leone,2016,3.203004468,4.206946634
Sierra Leone,2017,3.213435125,4.223488894
Sierra Leone,2018,3.214360896,4.221151424
Sierra Leone,2019,3.209039112,4.206682782
Singapore,2016,2.27240453,3.719986168
Singapore,2017,2.273910413,3.71280011
Singapore,2018,2.264009828,3.706018148
Singapore,2019,2.241971597,3.69344681
Slovakia,2016,2.686460362,4.621196956
Slovakia,2017,2.688498816,4.603999149
Slovakia,2018,2.685150094,4.609387033
Slovakia,2019,2.67678151,4.627735258
Slovenia,2016,2.688267454,4.607589314
Slovenia,2017,2.685384828,4.593427758
Slovenia,2018,2.685610395,4.601346919
Slovenia,2019,2.686548582,4.623666925
Solomon Islands,2016,3.138248268,5.118596197
Solomon Islands,2017,3.1263807,5.117227055
Solomon Islands,2018,3.129228789,5.129562918
Solomon Islands,2019,3.139682239,5.154689406
Somalia,2016,2.729863274,3.906506315
Somalia,2017,2.725424815,3.912972447
Somalia,2018,2.730538302,3.904687817
Somalia,2019,2.742706259,3.884917524
South Africa,2016,3.115145233,4.662164897
South Africa,2017,3.118889744,4.669767195
South Africa,2018,3.120380062,4.66000122
South Africa,2019,3.12113567,4.635500236
South Asia (WB),2016,2.620125927,3.849156352
South Asia (WB),2017,2.62702192,3.852843514
South Asia (WB),2018,2.618949232,3.82944261
South Asia (WB),2019,2.595936908,3.774709582
South Korea,2016,2.355476612,4.917238016
South Korea,2017,2.372036511,4.593441704
South Korea,2018,2.376816912,4.589265831
South Korea,2019,2.385868214,4.606941837
South Sudan,2016,4.130330562,6.052822949
South Sudan,2017,4.141226594,6.06923958
South Sudan,2018,4.147660975,6.044888893
South Sudan,2019,4.153159178,5.983484332
South-East Asia Region (WHO),2016,2.56218132,3.94720985
South-East Asia Region (WHO),2017,2.56719299,3.950776399
South-East Asia Region (WHO),2018,2.55935243,3.926510008
South-East Asia Region (WHO),2019,2.538417674,3.871244138
Spain,2016,3.070007094,8.564170059
Spain,2017,3.083534325,8.552456357
Spain,2018,3.151402471,8.168380036
Spain,2019,3.283124738,7.342838216
Sri Lanka,2016,3.005234317,5.283344506
Sri Lanka,2017,3.013915511,5.315476874
Sri Lanka,2018,3.021036706,5.330956321
Sri Lanka,2019,3.03023021,5.344097763
Sub-Saharan Africa (WB),2016,2.970798032,4.149001311
Sub-Saharan Africa (WB),2017,2.976558695,4.158294498
Sub-Saharan Africa (WB),2018,2.980610108,4.152983013
Sub-Saharan Africa (WB),2019,2.98454524,4.137313833
Sudan,2016,3.692979335,6.120502854
Sudan,2017,3.688120576,6.122132348
Sudan,2018,3.690040641,6.13930991
Sudan,2019,3.695341791,6.174636185
Suriname,2016,3.212501063,5.36274231
Suriname,2017,3.20228891,5.359183719
Suriname,2018,3.205083829,5.361258064
Suriname,2019,3.214453352,5.366090409
Sweden,2016,3.948453208,6.517409089
Sweden,2017,3.955030049,6.490823502
Sweden,2018,3.950126075,6.477820681
Sweden,2019,3.936925657,6.462918504
Switzerland,2016,5.587049453,9.428436265
Switzerland,2017,5.601684338,9.379138503
Switzerland,2018,5.589017529,9.358809413
Switzerland,2019,5.558849325,9.343010308
Syria,2016,4.354046999,7.164964617
Syria,2017,4.342238063,7.153793269
Syria,2018,4.340817928,7.173976879
Syria,2019,4.342259797,7.220107532
Taiwan,2016,3.013174509,4.76435628
Taiwan,2017,2.996851141,4.719733431
Taiwan,2018,3.011417524,4.749939611
Taiwan,2019,3.048647996,4.833721536
Tajikistan,2016,1.938985326,3.095671414
Tajikistan,2017,1.944201887,3.095092354
Tajikistan,2018,1.946677428,3.097356136
Tajikistan,2019,1.948412565,3.101311859
Tanzania,2016,3.175905747,4.573571969
Tanzania,2017,3.18858059,4.58872456
Tanzania,2018,3.194304512,4.579792539
Tanzania,2019,3.196599489,4.550808817
Thailand,2016,2.559690438,4.447473837
Thailand,2017,2.557740088,4.462914544
Thailand,2018,2.568971365,4.475682212
Thailand,2019,2.592158638,4.493657791
Timor,2016,2.808590186,4.948125423
Timor,2017,2.803594846,4.969810944
Timor,2018,2.813184579,4.976110195
Timor,2019,2.833456425,4.97741255
Togo,2016,3.12857975,4.102338146
Togo,2017,3.139990959,4.111582628
Togo,2018,3.141080752,4.116557267
Togo,2019,3.136772879,4.121689215
Tokelau,2016,3.210534741,5.175318844
Tokelau,2017,3.200637885,5.180270224
Tokelau,2018,3.207036459,5.179118394
Tokelau,2019,3.223766862,5.173912111
Tonga,2016,3.222628854,5.185751555
Tonga,2017,3.204788851,5.18675677
Tonga,2018,3.207257916,5.194441478
Tonga,2019,3.219064527,5.209587169
Trinidad and Tobago,2016,3.065135868,5.057101861
Trinidad and Tobago,2017,3.056432447,5.063905229
Trinidad and Tobago,2018,3.058432846,5.076359944
Trinidad and Tobago,2019,3.064849897,5.093694319
Tunisia,2016,4.068680303,6.667028688
Tunisia,2017,4.068505341,6.666462422
Tunisia,2018,4.071695979,6.69786879
Tunisia,2019,4.079302352,6.764731166
Turkey,2016,3.739712567,5.706804907
Turkey,2017,3.734927732,5.696006915
Turkey,2018,3.735658405,5.715341228
Turkey,2019,3.739601473,5.760193077
Turkmenistan,2016,1.914716482,3.035474299
Turkmenistan,2017,1.918843676,3.044063681
Turkmenistan,2018,1.920958271,3.047990882
Turkmenistan,2019,1.922661644,3.050903736
Tuvalu,2016,3.199643946,5.154006064
Tuvalu,2017,3.182801502,5.152628206
Tuvalu,2018,3.190230302,5.158348062
Tuvalu,2019,3.211843774,5.16975213
Uganda,2016,3.61636978,4.656623287
Uganda,2017,3.611020092,4.68054079
Uganda,2018,3.608003123,4.664342369
Uganda,2019,3.602714887,4.617447559
Ukraine,2016,2.559996339,4.045125253
Ukraine,2017,2.566956799,4.045708389
Ukraine,2018,2.56588143,4.056807483
Ukraine,2019,2.559624047,4.076834141
United Arab Emirates,2016,3.704475304,5.983199759
United Arab Emirates,2017,3.688972196,5.953460664
United Arab Emirates,2018,3.691343955,5.979244693
United Arab Emirates,2019,3.701557194,6.046379818
United Kingdom,2016,3.831448078,5.900824479
United Kingdom,2017,3.826157535,5.880780287
United Kingdom,2018,3.831465065,5.881160718
United Kingdom,2019,3.845128296,5.890394893
United States,2016,4.198604736,6.931961258
United States,2017,4.203952813,6.940649905
United States,2018,4.322668314,7.171516244
United States,2019,4.574432323,7.666037331
United States Virgin Islands,2016,3.398704207,5.658714309
United States Virgin Islands,2017,3.382604735,5.658542864
United States Virgin Islands,2018,3.387788265,5.667628595
United States Virgin Islands,2019,3.404568316,5.685367403
Uruguay,2016,3.414781776,7.504443797
Uruguay,2017,3.414696721,7.492301653
Uruguay,2018,3.412671579,7.501347913
Uruguay,2019,3.407366305,7.524571551
Uzbekistan,2016,1.628662483,2.576858437
Uzbekistan,2017,1.628098205,2.583861902
Uzbekistan,2018,1.63576463,2.585581228
Uzbekistan,2019,1.650959308,2.585598472
Vanuatu,2016,3.144353303,5.112984498
Vanuatu,2017,3.128430947,5.117189825
Vanuatu,2018,3.137745771,5.125314323
Vanuatu,2019,3.162786584,5.138805745
Venezuela,2016,3.144960876,5.097699501
Venezuela,2017,3.159209133,5.114851876
Venezuela,2018,3.165103712,5.119340973
Venezuela,2019,3.168988161,5.119297485
Vietnam,2016,1.661264255,3.053721221
Vietnam,2017,1.660019552,3.048026893
Vietnam,2018,1.662144817,3.054595227
Vietnam,2019,1.666346277,3.069094314
Wales,2016,3.663626238,5.643139779
Wales,2017,3.648307951,5.612863088
Wales,2018,3.646496064,5.623680979
Wales,2019,3.648972446,5.659163414
Western Pacific Region (WHO),2016,2.625589105,4.169024396
Western Pacific Region (WHO),2017,2.672927583,4.216708317
Western Pacific Region (WHO),2018,2.673816715,4.214159074
Western Pacific Region (WHO),2019,2.648694679,4.18439929
World,2016,2.992900782,4.824811363
World,2017,3.010822896,4.838861913
World,2018,3.017414283,4.841398797
World,2019,3.01997562,4.841299604
World Bank High Income,2016,3.74440047,6.580018887
World Bank High Income,2017,3.75541457,6.556232824
World Bank High Income,2018,3.791783962,6.611185194
World Bank High Income,2019,3.863879389,6.73032492
World Bank Low Income,2016,3.059736351,4.391853964
World Bank Low Income,2017,3.067594912,4.406027347
World Bank Low Income,2018,3.074818115,4.404882684
World Bank Low Income,2019,3.083002565,4.39338241
World Bank Lower Middle Income,2016,2.72526777,4.169710498
World Bank Lower Middle Income,2017,2.731047807,4.174126482
World Bank Lower Middle Income,2018,2.729514914,4.163601556
World Bank Lower Middle Income,2019,2.720484002,4.13677481
World Bank Upper Middle Income,2016,3.141786908,5.110012521
World Bank Upper Middle Income,2017,3.181644058,5.164129262
World Bank Upper Middle Income,2018,3.186401341,5.173228308
World Bank Upper Middle Income,2019,3.171149942,5.166135392
Yemen,2016,3.688312654,6.107915717
Yemen,2017,3.683838923,6.094101675
Yemen,2018,3.679508907,6.110037524
Yemen,2019,3.67338445,6.151296773
Zambia,2016,3.287085245,4.766936217
Zambia,2017,3.295011537,4.781532467
Zambia,2018,3.298950915,4.77570632
Zambia,2019,3.300855382,4.754159052
Zimbabwe,2016,3.045751063,3.549725879
Zimbabwe,2017,3.043805486,3.562316099
Zimbabwe,2018,3.041715516,3.539323202
Zimbabwe,2019,3.034184918,3.483208728
